camera,source_frame,receive_time_s,region,mask_pixels,laplacian_variance,mean_gradient_energy,intensity_std
c920,15,0.531925454,ball_roi,551145,809.3573608398438,2835.661376953125,66.16239166259766
c920,15,0.531925454,red,42667,3507.409912109375,13337.6787109375,47.72732162475586
c920,15,0.531925454,green,19011,2161.970458984375,11297.0927734375,39.772865295410156
c920,23,0.799915511,ball_roi,551145,816.79833984375,2835.243408203125,66.16055297851562
c920,23,0.799915511,red,42543,3417.810302734375,12773.072265625,47.630653381347656
c920,23,0.799915511,green,18935,2172.08154296875,11273.6123046875,39.729515075683594
c920,28,0.995955276,ball_roi,551145,816.3062744140625,2841.9072265625,66.13683319091797
c920,28,0.995955276,red,42117,3267.346435546875,12647.67578125,46.92291259765625
c920,28,0.995955276,green,19051,2088.026123046875,11195.201171875,39.710411071777344
c920,31,1.09597496,ball_roi,551145,790.809326171875,2801.1796875,66.1631851196289
c920,31,1.09597496,red,42754,3232.68212890625,12703.8291015625,47.376373291015625
c920,31,1.09597496,green,18942,2080.00927734375,11078.830078125,39.878170013427734
c920,39,1.427971009,ball_roi,551145,807.4913940429688,2828.809814453125,66.094482421875
c920,39,1.427971009,red,43172,3381.006103515625,13054.6259765625,47.809879302978516
c920,39,1.427971009,green,18965,2137.467041015625,11229.3193359375,39.73255920410156
c920,47,1.696013917,ball_roi,551145,792.7054443359375,2811.34765625,66.10221862792969
c920,47,1.696013917,red,43424,3356.072509765625,13267.1396484375,48.03789138793945
c920,47,1.696013917,green,18888,2118.5966796875,11141.2314453125,39.60438919067383
c920,55,1.996355951,ball_roi,551145,822.5775146484375,2847.5595703125,66.12049865722656
c920,55,1.996355951,red,43080,3576.793212890625,13314.2451171875,47.77680206298828
c920,55,1.996355951,green,18960,2118.64404296875,11235.640625,39.8496208190918
c920,63,2.292662751,ball_roi,551145,821.8782958984375,2837.468505859375,66.09735107421875
c920,63,2.292662751,red,41878,3348.58056640625,12846.60546875,47.15867614746094
c920,63,2.292662751,green,18945,2045.958251953125,11025.1328125,39.764041900634766
c920,320,11.004899718999999,ball_roi,551145,88.89111328125,973.80322265625,70.40567016601562
c920,320,11.004899718999999,red,39107,187.82769775390625,3523.9931640625,40.47746658325195
c920,320,11.004899718999999,green,24715,123.67456817626953,2033.501220703125,28.0413875579834
c920,321,11.036453419999999,ball_roi,551145,115.5775375366211,1118.6021728515625,70.75397491455078
c920,321,11.036453419999999,red,40211,290.3634948730469,4310.484375,42.63319778442383
c920,321,11.036453419999999,green,26275,155.41639709472656,2462.799072265625,30.382854461669922
c920,322,11.068495675,ball_roi,551145,115.9109115600586,976.4706420898438,70.75836944580078
c920,322,11.068495675,red,37199,298.7123718261719,3480.0341796875,40.30707550048828
c920,322,11.068495675,green,21869,99.07463836669922,2106.924072265625,29.234779357910156
c920,323,11.100541949,ball_roi,551145,111.3262939453125,941.5059204101562,71.1078109741211
c920,323,11.100541949,red,35329,148.64739990234375,2762.0693359375,39.01849365234375
c920,323,11.100541949,green,19580,96.66409301757812,2109.469970703125,29.409780502319336
c920,324,11.136441807999999,ball_roi,551145,82.6549301147461,942.3640747070312,71.7703857421875
c920,324,11.136441807999999,red,41410,193.62632751464844,3629.543701171875,43.17293167114258
c920,324,11.136441807999999,green,17465,82.54336547851562,1790.9627685546875,28.92233657836914
c920,325,11.168462637,ball_roi,551145,154.6329345703125,1193.821044921875,72.0478286743164
c920,325,11.168462637,red,40472,191.0223846435547,3373.992919921875,41.655521392822266
c920,325,11.168462637,green,15933,85.46009826660156,1642.1661376953125,27.38741111755371
c920,326,11.200527818,ball_roi,551145,198.49221801757812,1251.7261962890625,71.40938568115234
c920,326,11.200527818,red,41283,158.98805236816406,3088.158447265625,43.02216720581055
c920,326,11.200527818,green,14703,96.77947998046875,1639.48486328125,26.56658363342285
c920,327,11.236454918,ball_roi,551145,261.5406494140625,1397.890380859375,71.16535186767578
c920,327,11.236454918,red,41516,402.08367919921875,4165.4736328125,44.10628890991211
c920,327,11.236454918,green,15419,136.96536254882812,2088.484130859375,27.125411987304688
c920,328,11.268481062,ball_roi,551145,309.724609375,1503.9234619140625,70.37118530273438
c920,328,11.268481062,red,44245,567.20947265625,4621.70751953125,45.54286575317383
c920,328,11.268481062,green,13015,101.3277587890625,1842.3121337890625,28.42898178100586
c920,329,11.300503743,ball_roi,551145,221.65194702148438,1262.406982421875,69.16635131835938
c920,329,11.300503743,red,41700,381.3360900878906,3814.7138671875,44.118019104003906
c920,329,11.300503743,green,11120,89.95108032226562,1617.569091796875,28.313472747802734
c920,330,11.336467306,ball_roi,551145,137.65330505371094,991.8909912109375,68.001220703125
c920,330,11.336467306,red,42448,370.2884521484375,3676.26806640625,44.49297332763672
c920,330,11.336467306,green,10749,115.56957244873047,1779.04052734375,26.489376068115234
c920,331,11.368478172,ball_roi,551145,123.69670867919922,1022.4581298828125,68.134033203125
c920,331,11.368478172,red,41337,444.4863586425781,4564.92529296875,45.57573699951172
c920,331,11.368478172,green,14971,112.21356201171875,2108.435791015625,28.548837661743164
c920,332,11.400568464,ball_roi,551145,96.72714233398438,949.3279418945312,67.26747131347656
c920,332,11.400568464,red,40785,307.127197265625,4137.890625,46.68113327026367
c920,332,11.400568464,green,17214,108.322509765625,2226.830810546875,29.248031616210938
c920,333,11.46849906,ball_roi,551145,156.15138244628906,1137.6055908203125,66.31802368164062
c920,333,11.46849906,red,39851,432.22137451171875,4285.00146484375,44.3931999206543
c920,333,11.46849906,green,14355,127.6073226928711,2094.822998046875,28.652267456054688
c920,334,11.500541741,ball_roi,551145,225.49876403808594,1304.1014404296875,66.45384979248047
c920,334,11.500541741,red,35017,791.7730102539062,5084.470703125,41.53767776489258
c920,334,11.500541741,green,17341,200.7312469482422,2716.876708984375,30.87630844116211
c920,335,11.536494488999999,ball_roi,551145,259.35443115234375,1488.5224609375,66.98845672607422
c920,335,11.536494488999999,red,34928,730.8546142578125,5187.419921875,41.954750061035156
c920,335,11.536494488999999,green,20507,197.97946166992188,2696.096923828125,31.973670959472656
c920,336,11.569146169,ball_roi,551145,404.3554992675781,1741.240478515625,67.15625762939453
c920,336,11.569146169,red,35186,1010.4237060546875,6262.22119140625,44.282066345214844
c920,336,11.569146169,green,22088,255.96226501464844,3158.01513671875,33.269134521484375
c920,337,11.601725089999999,ball_roi,551145,448.5037841796875,1787.47509765625,67.15370178222656
c920,337,11.601725089999999,red,35443,1390.41650390625,7333.52001953125,45.65007781982422
c920,337,11.601725089999999,green,22242,189.63153076171875,2976.814208984375,32.77573776245117
c920,541,18.713043575,ball_roi,551145,196.9910888671875,1297.63671875,63.61381912231445
c920,541,18.713043575,red,35405,413.0780944824219,4670.36376953125,40.694847106933594
